지점번호,지점명,관측시각,기온(C),풍속(m/s),풍향(deg),일사량(MJ/m2),일조시간(hr),전운량(0-10)
184,제주,2022-01-01 0:00,3.6,3.9,20,,,6
184,제주,2022-01-01 1:00,3.3,2.4,360,,,6
184,제주,2022-01-01 2:00,3.2,3.1,20,,,8
184,제주,2022-01-01 3:00,3,4.1,50,,,2
184,제주,2022-01-01 4:00,2.5,3.6,20,,,1
184,제주,2022-01-01 5:00,2.2,2.6,20,,,1
184,제주,2022-01-01 6:00,2.2,2.7,20,,,2
184,제주,2022-01-01 7:00,1.5,1.1,140,,,3
184,제주,2022-01-01 8:00,0.9,1.8,250,0.01,0,3
184,제주,2022-01-01 9:00,2,1.3,230,0.21,0.3,1
184,제주,2022-01-01 10:00,6.3,1,200,0.91,1,0
184,제주,2022-01-01 11:00,7.7,2.7,360,1.5,1,1
184,제주,2022-01-01 12:00,8.5,2.1,20,1.93,1,5
184,제주,2022-01-01 13:00,8.2,2.8,320,2,1,5
184,제주,2022-01-01 14:00,8.7,2.6,340,1.83,1,3
184,제주,2022-01-01 15:00,8.2,2.4,360,1.41,0.9,6
184,제주,2022-01-01 16:00,7.5,1.3,20,0.56,0.4,7
184,제주,2022-01-01 17:00,7.1,0.5,340,0.4,0.8,7
184,제주,2022-01-01 18:00,6,1.3,200,0,0,8
184,제주,2022-01-01 19:00,5.6,2.6,180,,,6
184,제주,2022-01-01 20:00,5.3,1.6,180,,,5
184,제주,2022-01-01 21:00,4.8,1.9,180,,,6
184,제주,2022-01-01 22:00,4.3,2.5,180,,,4
184,제주,2022-01-01 23:00,4,2.8,180,,,4
184,제주,2022-01-02 0:00,4.4,2.6,180,,,7
184,제주,2022-01-02 1:00,4.3,2.8,180,,,6
184,제주,2022-01-02 2:00,5.2,2.7,230,,,6
184,제주,2022-01-02 3:00,5.7,2.6,230,,,7
184,제주,2022-01-02 4:00,5.5,1.7,250,,,2
184,제주,2022-01-02 5:00,5.4,2.6,230,,,3
184,제주,2022-01-02 6:00,4.8,3.3,180,,,0
184,제주,2022-01-02 7:00,4.3,2.5,180,,,0
184,제주,2022-01-02 8:00,4.5,1.6,200,0.01,0,2
184,제주,2022-01-02 9:00,6,2,230,0.2,0.2,5
184,제주,2022-01-02 10:00,10,2.4,230,0.75,0.7,8
184,제주,2022-01-02 11:00,10.2,2.3,250,0.7,0.2,9
184,제주,2022-01-02 12:00,10.4,2.8,320,0.46,0,9
184,제주,2022-01-02 13:00,10.6,3.3,320,0.5,0,9
184,제주,2022-01-02 14:00,10.6,4.6,320,0.67,0,8
184,제주,2022-01-02 15:00,11.1,4.1,320,0.71,0.2,8
184,제주,2022-01-02 16:00,10.4,5,340,0.26,0,8
184,제주,2022-01-02 17:00,9.6,4.8,360,0.14,0,8
184,제주,2022-01-02 18:00,8.7,4.3,340,0,0,7
184,제주,2022-01-02 19:00,8.1,3.5,340,,,7
184,제주,2022-01-02 20:00,7.4,4,340,,,5
184,제주,2022-01-02 21:00,6.4,1.9,360,,,3
184,제주,2022-01-02 22:00,6.4,3.8,20,,,0
184,제주,2022-01-02 23:00,5.5,2.1,20,,,3
184,제주,2022-01-03 0:00,4.5,2,160,,,2
184,제주,2022-01-03 1:00,3.8,2.2,180,,,6
184,제주,2022-01-03 2:00,3.4,2.2,180,,,4
184,제주,2022-01-03 3:00,3.3,2.2,160,,,4
184,제주,2022-01-03 4:00,3,2.3,160,,,6
184,제주,2022-01-03 5:00,2.9,1.8,180,,,7
184,제주,2022-01-03 6:00,3,2.2,180,,,4
184,제주,2022-01-03 7:00,3.1,2.5,180,,,3
184,제주,2022-01-03 8:00,2.6,2.2,180,0,0,2
184,제주,2022-01-03 9:00,3.7,1.9,200,0.19,0.3,2
184,제주,2022-01-03 10:00,8.9,2.7,290,1,1,7
184,제주,2022-01-03 11:00,8,2.5,320,0.94,0.3,7
184,제주,2022-01-03 12:00,8.9,3.3,290,1.27,0.3,7
184,제주,2022-01-03 13:00,10.2,3.6,320,1.67,0.7,5
184,제주,2022-01-03 14:00,10,3.6,290,1.83,0.8,6
184,제주,2022-01-03 15:00,10.5,4.1,320,1.64,0.8,6
184,제주,2022-01-03 16:00,8.9,3,270,0.84,0.5,6
184,제주,2022-01-03 17:00,8.1,3.3,320,0.34,0.4,7
184,제주,2022-01-03 18:00,7.4,3.1,320,0,0,8
184,제주,2022-01-03 19:00,7.2,3.2,340,,,5
184,제주,2022-01-03 20:00,6.5,2.4,340,,,2
184,제주,2022-01-03 21:00,6.3,2.1,290,,,4
184,제주,2022-01-03 22:00,5.5,1.5,200,,,1
184,제주,2022-01-03 23:00,5,2.2,200,,,1
184,제주,2022-01-04 0:00,4.9,2.5,180,,,7
184,제주,2022-01-04 1:00,4.9,2.2,180,,,7
184,제주,2022-01-04 2:00,5,1.9,200,,,9
184,제주,2022-01-04 3:00,5.6,2.9,230,,,8
184,제주,2022-01-04 4:00,5.9,2.6,230,,,7
184,제주,2022-01-04 5:00,6.4,2,290,,,2
184,제주,2022-01-04 6:00,5.7,2.9,200,,,0
184,제주,2022-01-04 7:00,6.2,3.7,200,,,1
184,제주,2022-01-04 8:00,6.5,3.2,200,0,0,6
184,제주,2022-01-04 9:00,7.9,3.2,230,0.05,0,7
184,제주,2022-01-04 10:00,8.8,5.4,20,0.12,0,8
184,제주,2022-01-04 11:00,9.2,4,20,0.49,0,6
184,제주,2022-01-04 12:00,9,4.6,20,0.54,0,8
184,제주,2022-01-04 13:00,8.2,5.6,20,0.6,0,9
184,제주,2022-01-04 14:00,7.9,5.6,20,0.41,0,9
184,제주,2022-01-04 15:00,7.8,4.5,360,0.36,0,8
184,제주,2022-01-04 16:00,8.1,3.5,20,0.52,0.3,5
184,제주,2022-01-04 17:00,7.1,3.9,20,0.27,0.6,3
184,제주,2022-01-04 18:00,6.4,3.5,20,0,0,5
184,제주,2022-01-04 19:00,6.3,2.9,360,,,7
184,제주,2022-01-04 20:00,6.2,3.1,340,,,5
184,제주,2022-01-04 21:00,6.1,3.2,360,,,8
184,제주,2022-01-04 22:00,6.3,3.4,360,,,9
184,제주,2022-01-04 23:00,6.2,3,20,,,9
184,제주,2022-01-05 0:00,6.1,2.2,360,,,10
184,제주,2022-01-05 1:00,6.2,2.6,20,,,10
184,제주,2022-01-05 2:00,6.1,2.2,340,,,10
184,제주,2022-01-05 3:00,6.1,3.2,20,,,10
184,제주,2022-01-05 4:00,6,2.7,20,,,10
184,제주,2022-01-05 5:00,5.9,2.2,360,,,10
184,제주,2022-01-05 6:00,5.9,1.1,340,,,10
184,제주,2022-01-05 7:00,5.8,2.2,230,,,10
184,제주,2022-01-05 8:00,4.6,3.6,200,0,0,10
184,제주,2022-01-05 9:00,3.4,2.7,180,0.02,0,10
184,제주,2022-01-05 10:00,4.4,1,200,0.06,0,10
184,제주,2022-01-05 11:00,5.3,0.7,160,0.12,0,10
184,제주,2022-01-05 12:00,5.7,1.6,140,0.11,0,10
184,제주,2022-01-05 13:00,5.6,1.6,140,0,0,10
184,제주,2022-01-05 14:00,5.6,2,160,0.02,0,10
184,제주,2022-01-05 15:00,5.9,1.7,160,0.01,0,10
184,제주,2022-01-05 16:00,6.1,1.5,160,0.01,0,10
184,제주,2022-01-05 17:00,6.3,1,180,0,0,10
184,제주,2022-01-05 18:00,6.7,3,70,0,0,10
184,제주,2022-01-05 19:00,6.7,4.8,50,,,10
184,제주,2022-01-05 20:00,6.6,4.9,50,,,10
184,제주,2022-01-05 21:00,6.5,1.6,90,,,10
184,제주,2022-01-05 22:00,6.1,2.4,180,,,10
184,제주,2022-01-05 23:00,6,2,160,,,10
184,제주,2022-01-06 0:00,6.4,1,200,,,10
184,제주,2022-01-06 1:00,6.9,1.4,200,,,9
184,제주,2022-01-06 2:00,7.7,5.5,50,,,9
184,제주,2022-01-06 3:00,8.3,6.9,20,,,10
184,제주,2022-01-06 4:00,7.8,8.2,20,,,10
184,제주,2022-01-06 5:00,7.5,6.5,20,,,10
184,제주,2022-01-06 6:00,7.6,5.9,20,,,9
